"ciudad","periodo","año","mes","orden","semestre","apertura","rubro","mediana","mediapodada","cantidad_precios","ponderadorImplicito","variacion","incidencia","variacion_anual","incidencia_anual"
"Conurbano","2012-7",2012,7,300,"2012-IIS","Carnicería","Carnicería",190.25,191.03,889,0.38,0.33,0.12,27.76,11.11
"Tucuman","2012-7",2012,7,1,"2012-IIS","CBA","total",469.95,477.38,4144,1.00,0.31,0.31,,
"Tucuman","2012-7",2012,7,100,"2012-IIS","Almacén","Almacén",200.25,201.99,2637,0.42,2.46,1.02,,
"Tucuman","2012-7",2012,7,120,"2012-IIS","Almacén-ConHarina","Almacén",74.12,73.36,474,0.15,1.26,0.19,,
"Tucuman","2012-7",2012,7,130,"2012-IIS","Almacén-SinHarina","Almacén",126.12,128.63,2163,0.26,3.18,0.83,,
"Tucuman","2012-7",2012,7,200,"2012-IIS","Verdulería","Verdulería",78.46,82.14,951,0.16,-2.62,-0.45,,
"Tucuman","2012-7",2012,7,300,"2012-IIS","Carnicería","Carnicería",191.23,193.23,556,0.40,-0.64,-0.26,,
"Chaco","2012-8",2012,8,1,"2012-IIS","CBA","total",468.30,467.73,4982,1.00,5.58,5.58,,
"Chaco","2012-8",2012,8,100,"2012-IIS","Almacén","Almacén",203.74,202.96,3257,0.43,4.65,2.04,,
"Chaco","2012-8",2012,8,120,"2012-IIS","Almacén-ConHarina","Almacén",68.25,69.29,646,0.14,3.50,0.52,,
"Chaco","2012-8",2012,8,130,"2012-IIS","Almacén-SinHarina","Almacén",135.49,133.66,2611,0.28,5.24,1.52,,
"Chaco","2012-8",2012,8,200,"2012-IIS","Verdulería","Verdulería",96.96,96.99,1044,0.20,17.47,3.25,,
"Chaco","2012-8",2012,8,300,"2012-IIS","Carnicería","Carnicería",167.60,167.77,681,0.35,0.78,0.29,,
"Conurbano","2012-8",2012,8,1,"2012-IIS","CBA","total",525.15,527.12,7441,1.00,6.16,6.16,40.17,40.02
"Conurbano","2012-8",2012,8,100,"2012-IIS","Almacén","Almacén",225.30,227.34,4960,0.42,2.99,1.32,34.42,15.34
"Conurbano","2012-8",2012,8,120,"2012-IIS","Almacén-ConHarina","Almacén",88.46,88.88,904,0.16,4.16,0.71,26.82,4.97
"Conurbano","2012-8",2012,8,130,"2012-IIS","Almacén-SinHarina","Almacén",136.83,138.46,4056,0.26,2.25,0.61,39.84,10.36
"Conurbano","2012-8",2012,8,200,"2012-IIS","Verdulería","Verdulería",108.23,109.23,1504,0.20,26.35,4.56,104.90,14.73
"Conurbano","2012-8",2012,8,300,"2012-IIS","Carnicería","Carnicería",191.61,190.54,977,0.36,0.71,0.27,24.23,9.94
"Tucuman","2012-8",2012,8,1,"2012-IIS","CBA","total",501.84,505.03,4332,1.00,6.78,6.78,,
"Tucuman","2012-8",2012,8,100,"2012-IIS","Almacén","Almacén",211.76,212.38,2789,0.42,5.74,2.44,,
"Tucuman","2012-8",2012,8,120,"2012-IIS","Almacén-ConHarina","Almacén",81.35,80.88,508,0.16,9.74,1.53,,
"Tucuman","2012-8",2012,8,130,"2012-IIS","Almacén-SinHarina","Almacén",130.40,131.50,2281,0.25,3.39,0.91,,
"Tucuman","2012-8",2012,8,200,"2012-IIS","Verdulería","Verdulería",99.08,102.57,970,0.19,26.27,4.38,,
"Tucuman","2012-8",2012,8,300,"2012-IIS","Carnicería","Carnicería",190.99,190.07,573,0.38,-0.12,-0.05,,
"Chaco","2012-9",2012,9,1,"2012-IIS","CBA","total",474.32,478.16,4896,1.00,1.28,1.28,,
"Chaco","2012-9",2012,9,100,"2012-IIS","Almacén","Almacén",204.86,204.85,3215,0.43,0.55,0.24,,
"Chaco","2012-9",2012,9,120,"2012-IIS","Almacén-ConHarina","Almacén",70.26,71.05,648,0.14,2.94,0.42,,
"Chaco","2012-9",2012,9,130,"2012-IIS","Almacén-SinHarina","Almacén",134.60,133.80,2567,0.28,-0.65,-0.18,,
"Chaco","2012-9",2012,9,200,"2012-IIS","Verdulería","Verdulería",99.46,102.36,1018,0.20,2.57,0.53,,
"Chaco","2012-9",2012,9,300,"2012-IIS","Carnicería","Carnicería",169.99,170.93,663,0.35,1.42,0.51,,
"Conurbano","2012-9",2012,9,1,"2012-IIS","CBA","total",528.16,527.94,7407,1.00,0.57,0.57,33.04,33.04
"Conurbano","2012-9",2012,9,100,"2012-IIS","Almacén","Almacén",234.99,233.47,4949,0.44,4.29,1.84,31.28,14.10
"Conurbano","2012-9",2012,9,120,"2012-IIS","Almacén-ConHarina","Almacén",94.77,92.19,898,0.17,7.12,1.20,23.94,4.61
"Conurbano","2012-9",2012,9,130,"2012-IIS","Almacén-SinHarina","Almacén",140.21,141.28,4051,0.26,2.47,0.64,36.74,9.49
"Conurbano","2012-9",2012,9,200,"2012-IIS","Verdulería","Verdulería",99.66,101.89,1458,0.18,-7.92,-1.63,62.74,9.67
"Conurbano","2012-9",2012,9,300,"2012-IIS","Carnicería","Carnicería",193.50,192.58,1000,0.36,0.98,0.36,23.45,9.25
"Mar del Plata","2012-9",2012,9,1,"2012-IIS","CBA","total",474.64,475.05,5444,1.00,,,,
"Mar del Plata","2012-9",2012,9,100,"2012-IIS","Almacén","Almacén",194.54,197.32,3708,0.40,,,,
"Mar del Plata","2012-9",2012,9,120,"2012-IIS","Almacén-ConHarina","Almacén",72.96,75.57,730,0.15,,,,
"Mar del Plata","2012-9",2012,9,130,"2012-IIS","Almacén-SinHarina","Almacén",121.58,121.74,2978,0.25,,,,
"Mar del Plata","2012-9",2012,9,200,"2012-IIS","Verdulería","Verdulería",94.35,95.12,1162,0.19,,,,
"Mar del Plata","2012-9",2012,9,300,"2012-IIS","Carnicería","Carnicería",185.74,182.60,574,0.39,,,,
"Salta","2012-9",2012,9,1,"2012-IIS","CBA","total",483.08,486.60,5342,1.00,,,,
"Salta","2012-9",2012,9,100,"2012-IIS","Almacén","Almacén",194.25,195.55,4124,0.40,,,,
"Salta","2012-9",2012,9,120,"2012-IIS","Almacén-ConHarina","Almacén",79.55,80.00,782,0.16,,,,
"Salta","2012-9",2012,9,130,"2012-IIS","Almacén-SinHarina","Almacén",114.70,115.54,3342,0.23,,,,
"Salta","2012-9",2012,9,200,"2012-IIS","Verdulería","Verdulería",84.69,85.99,862,0.17,,,,
"Salta","2012-9",2012,9,300,"2012-IIS","Carnicería","Carnicería",204.12,205.05,356,0.42,,,,
"Tucuman","2012-9",2012,9,1,"2012-IIS","CBA","total",494.04,494.43,4317,1.00,-1.55,-1.55,,
"Tucuman","2012-9",2012,9,100,"2012-IIS","Almacén","Almacén",203.19,208.11,2740,0.41,-4.04,-1.70,,
"Tucuman","2012-9",2012,9,120,"2012-IIS","Almacén-ConHarina","Almacén",75.79,78.30,504,0.15,-6.83,-1.10,,
"Tucuman","2012-9",2012,9,130,"2012-IIS","Almacén-SinHarina","Almacén",127.40,129.80,2236,0.25,-2.30,-0.59,,
"Tucuman","2012-9",2012,9,200,"2012-IIS","Verdulería","Verdulería",100.98,98.89,982,0.20,1.91,0.37,,
"Tucuman","2012-9",2012,9,300,"2012-IIS","Carnicería","Carnicería",189.86,187.41,595,0.38,-0.59,-0.22,,
"Chaco","2012-10",2012,10,1,"2012-IIS","CBA","total",476.16,477.47,4789,1.00,0.38,0.38,,
"Chaco","2012-10",2012,10,100,"2012-IIS","Almacén","Almacén",208.84,207.60,3193,0.43,1.94,0.83,,
"Chaco","2012-10",2012,10,120,"2012-IIS","Almacén-ConHarina","Almacén",71.50,71.73,587,0.15,1.77,0.26,,
"Chaco","2012-10",2012,10,130,"2012-IIS","Almacén-SinHarina","Almacén",137.33,135.86,2606,0.28,2.03,0.57,,
"Chaco","2012-10",2012,10,200,"2012-IIS","Verdulería","Verdulería",94.51,96.28,888,0.19,-4.97,-1.04,,
"Chaco","2012-10",2012,10,300,"2012-IIS","Carnicería","Carnicería",172.80,173.59,708,0.36,1.65,0.59,,
"Conurbano","2012-10",2012,10,1,"2012-IIS","CBA","total",530.43,525.77,7576,1.00,0.43,0.43,33.85,33.85
"Conurbano","2012-10",2012,10,100,"2012-IIS","Almacén","Almacén",235.87,231.37,5053,0.44,0.37,0.16,28.82,13.31
"Conurbano","2012-10",2012,10,120,"2012-IIS","Almacén-ConHarina","Almacén",95.24,92.32,932,0.17,0.50,0.09,24.45,4.72
